session,data_origin,policy,informal_curb_rb_to_wm,short_dwell_scale,vol_rb_to_wm,vol_wm_to_rb,n_rows_calibration_subset,mean_boarding_subset,mean_alighting_subset,mean_arrival_rate_subset,crowding_top_subset,traffic_top_subset,bus_companies_top_subset,routes_top_subset,demand_window_s,demand_window_capped,avg_travel_time_s,avg_delay_s,delay_ratio,completed_trips,total_trips,total_distance_m,avg_speed_mps
Morning Session,robinsons_location,baseline_stop_before_and_after,True,,138,57,138,4.123,5.787,0.118,Medium:57; Light:31; Low:25; High:22; Heavy:2,Light:94; Heavy:20; Moderate:16; Low:8,Erjohn & Almark Transit Corp.:35; Kersteen Joyce Transport:21; PITX - MENDEZ Cavite Batangas Transport:15; Starliner:13; Jasper Jean:9,Dasmarinas - PITX:29; Pasay:20; Baclaran - LRT - Lawton:18; PITX - Magallanes:17; Buendia - PITX - Lawton - Macapagal:13,3480.0,False,404.61,11.27,0.0278,190,190,636500.0,8.28
Morning Session,robinsons_location,optimized_stop_after_only,False,,138,57,138,4.123,5.787,0.118,Medium:57; Light:31; Low:25; High:22; Heavy:2,Light:94; Heavy:20; Moderate:16; Low:8,Erjohn & Almark Transit Corp.:35; Kersteen Joyce Transport:21; PITX - MENDEZ Cavite Batangas Transport:15; Starliner:13; Jasper Jean:9,Dasmarinas - PITX:29; Pasay:20; Baclaran - LRT - Lawton:18; PITX - Magallanes:17; Buendia - PITX - Lawton - Macapagal:13,3480.0,False,333.55,12.23,0.0367,190,190,636500.0,10.043
Morning Session,waltermart_location,baseline_stop_before_and_after,True,,138,57,57,4.63,2.297,0.132,Medium:22; Light:17; Low:16; High:2,Light:54; Moderate:3,Erjohn & Almark Transit Corp.:10; San Agustin:10; Kersteen Joyce Transport:5; Kersteen:4; Cavite Batangas Transport Service:4,Tagaytay - Mendez:8; PITX - Dasmarinas:4; Nasugbu:4; PITX - Alfonso:3; Tagaytay - Olivarez - Alfonso:2,3840.0,False,407.5,14.16,0.0347,190,190,636500.0,8.221
Morning Session,waltermart_location,optimized_stop_after_only,False,0.55,138,57,57,4.63,2.297,0.132,Medium:22; Light:17; Low:16; High:2,Light:54; Moderate:3,Erjohn & Almark Transit Corp.:10; San Agustin:10; Kersteen Joyce Transport:5; Kersteen:4; Cavite Batangas Transport Service:4,Tagaytay - Mendez:8; PITX - Dasmarinas:4; Nasugbu:4; PITX - Alfonso:3; Tagaytay - Olivarez - Alfonso:2,3840.0,False,279.34,14.88,0.0533,190,190,636500.0,11.992
Lunch,robinsons_location,baseline_stop_before_and_after,True,,44,83,44,3.895,8.476,0.099,Medium:16; High:15; Low:13,Light:20; Moderate:19; Heavy:5,DLTB Co.:7; Kersteen Joyce Transport:6; San Agustin:6; Jasper Jean:5; Starliner:3,PITX - Pasay:8; PITX - Dasmariñas:4; LRT - Taft - Buendia:4; Baclaran - LRT - Lawton:4; PITX - Lawton:2,2940.0,False,404.58,14.85,0.0367,120,120,402000.0,8.28
Lunch,robinsons_location,optimized_stop_after_only,False,,44,83,44,3.895,8.476,0.099,Medium:16; High:15; Low:13,Light:20; Moderate:19; Heavy:5,DLTB Co.:7; Kersteen Joyce Transport:6; San Agustin:6; Jasper Jean:5; Starliner:3,PITX - Pasay:8; PITX - Dasmariñas:4; LRT - Taft - Buendia:4; Baclaran - LRT - Lawton:4; PITX - Lawton:2,2940.0,False,361.88,15.5,0.0428,120,120,402000.0,9.257
Lunch,waltermart_location,baseline_stop_before_and_after,True,,44,83,83,4.699,3.277,0.137,Medium:31; Low:22; High:13; Light:9; Heavy:6,Moderate:43; Light:20; Heavy:16; Low:3; High:1,Erjohn & Almark Transit Corp.:17; Kersteen Joyce Transport:12; San Agustin Transport Service Corp.:9; PITX - MENDEZ Cavite Batangas Transport:8; Starliner:7,Nasugbu Lian:22; Tagaytay - Nasugbu:10; Tagaytay - Alfonso:9; Tagaytay - Amadeo - Olivarez:8; Amadeo - Tagaytay:5,18000.0,True,404.79,15.05,0.0372,120,120,402000.0,8.276
Lunch,waltermart_location,optimized_stop_after_only,False,0.55,44,83,83,4.699,3.277,0.137,Medium:31; Low:22; High:13; Light:9; Heavy:6,Moderate:43; Light:20; Heavy:16; Low:3; High:1,Erjohn & Almark Transit Corp.:17; Kersteen Joyce Transport:12; San Agustin Transport Service Corp.:9; PITX - MENDEZ Cavite Batangas Transport:8; Starliner:7,Nasugbu Lian:22; Tagaytay - Nasugbu:10; Tagaytay - Alfonso:9; Tagaytay - Amadeo - Olivarez:8; Amadeo - Tagaytay:5,18000.0,True,292.92,14.68,0.0501,120,120,402000.0,11.437
Afternoon Session,robinsons_location,baseline_stop_before_and_after,True,,106,101,106,5.217,8.14,0.138,Medium:33; High:27; Low:21; Heavy:17; Light:8,Heavy:70; Moderate:29; Light:7,Erjohn & Almark Transit Corp.:17; San Agustin Transport Service Corp.:15; Kersteen Joyce Transport:15; PITX - MENDEZ Cavite Batangas Transport:13; DLTB Co.:9,Pasay:24; PITX - Magallanes:13; Baclaran - LRT - Lawton:10; Dasmarinas - PITX:9; PITX - Dasmarinas:9,3420.0,False,412.93,15.64,0.0379,205,205,686750.0,8.113
Afternoon Session,robinsons_location,optimized_stop_after_only,False,,106,101,106,5.217,8.14,0.138,Medium:33; High:27; Low:21; Heavy:17; Light:8,Heavy:70; Moderate:29; Light:7,Erjohn & Almark Transit Corp.:17; San Agustin Transport Service Corp.:15; Kersteen Joyce Transport:15; PITX - MENDEZ Cavite Batangas Transport:13; DLTB Co.:9,Pasay:24; PITX - Magallanes:13; Baclaran - LRT - Lawton:10; Dasmarinas - PITX:9; PITX - Dasmarinas:9,3420.0,False,352.93,14.14,0.0401,205,205,686750.0,9.492
Afternoon Session,waltermart_location,baseline_stop_before_and_after,True,,106,101,101,5.167,3.368,0.138,Medium:65; Low:25; High:6; Heavy:3; Light:2,Light:53; Heavy:30; Moderate:15; High:3,Erjohn & Almark Transit Corp.:13; Kersteen Joyce Transport:10; Kersteen:8; San Agustin:8; Erjohn & Almark:8,Amadeo - Tagaytay:10; Tagaytay - Mendez:9; Nasugbu Lian:7; Tagaytay - Nasugbu:6; Tagaytay - Alfonso:6,18000.0,True,413.05,15.76,0.0382,205,205,686750.0,8.11
Afternoon Session,waltermart_location,optimized_stop_after_only,False,0.55,106,101,101,5.167,3.368,0.138,Medium:65; Low:25; High:6; Heavy:3; Light:2,Light:53; Heavy:30; Moderate:15; High:3,Erjohn & Almark Transit Corp.:13; Kersteen Joyce Transport:10; Kersteen:8; San Agustin:8; Erjohn & Almark:8,Amadeo - Tagaytay:10; Tagaytay - Mendez:9; Nasugbu Lian:7; Tagaytay - Nasugbu:6; Tagaytay - Alfonso:6,18000.0,True,285.12,11.06,0.0388,205,205,686750.0,11.749
